category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
accessories,Chapeaux & Bonnets,Masques d'isolation de protection du visage Masques anti-buée anti-éclaboussures,9.99,16.99,USD,41,373,False,,"ID,MY,PH,SG,TH,VN",Gray,Blue,1671872,SKUF08305,3726.27
accessories,Baseball Caps,Chapeau de parasol de casquette de baseball en denim lavé à bordure personnalisée en plein air,9.99,18.99,USD,47,73,False,,"ID,MY,PH,SG,TH,VN",Navy,Black,1674377,SKUF11351,729.27
accessories,Flat Caps,Casquette Gavroche Cabbie Lvy Flat Hat Vintage Painter Beret Hats ,17.49,37.34,USD,53,140,False,,"ID,MY,PH,SG,TH,VN",Black,camel,1637790,SKUE50978,2448.6
accessories,Cache-oreilles & Masques,Masque à fleurs en coton multicolore Masque vintage,5.99,16.01,USD,63,686,False,,"ID,MY,PH,SG,TH,VN",#01,#02,1654953,SKUE76490,4109.14
accessories,Chapeaux & Bonnets,Chapeau de pêche en plein air pour hommes,13.99,26.99,USD,48,35,False,,"ID,MY,PH,SG,TH,VN",Black,Army Green,1666600,SKUE75375,489.65000000000003
accessories,Beanie Hat,Femmes Imprimer Campagne Floral Twist Beanie Cap Turban Cap de chimiothérapie,9.99,18.99,USD,47,91,False,,"ID,MY,PH,SG,TH,VN",Leopard,Green,1690702,SKUF28537,909.09
accessories,Cache-oreilles,Visage floral Masque Sheild Masque en coton vintage,5.99,11.99,USD,50,147,False,,"ID,MY,PH,SG,TH,VN",,,1668210,SKUE94427,880.5300000000001
accessories,Chapeaux & Bonnets,Bonnet en coton brodé pour homme Chapeau avant Chapeau de soleil rétro britannique Béret littéraire,12.99,23.99,USD,46,46,False,,"ID,MY,PH,SG,TH,VN",Black,Navy,1674357,SKUF04432,597.54
accessories,Flat Caps,Casquette gavroche octogonale d'été Cabbie Lvy Flat Hat,20.49,42.47,USD,52,121,False,,"ID,MY,PH,SG,TH,VN",Black,Grey,1637791,SKUE50991,2479.29
accessories,Skull Caps,Casquettes de crâne pour hommes à carreaux sans bord assortis,12.99,25.99,USD,50,71,False,,"ID,MY,PH,SG,TH,VN",Yellow,,1690229,SKUF19523,922.29
accessories,Ceintures & Bretelles,Ceinture en cuir véritable pour hommes Ceinture décontractée Sangle de taille Broche lisse Ceinture rétro,32.99,64.99,USD,49,35,False,,"ID,MY,PH,SG,TH,VN",Black,Coffee,1682316,SKUF26232,1154.65
accessories,Cache-oreilles,Masque facial en mousseline respirant réglable ,4.99,9.99,USD,50,110,False,,"ID,MY,PH,SG,TH,VN",,,1676041,SKUF09796,548.9
accessories,Cache-oreilles & Masques,Masque facial unisexe respirant de couleur unie,4.99,9.99,USD,50,98,False,,"ID,MY,PH,SG,TH,VN",Black,Gray,1676042,SKUF09707,489.02000000000004
accessories,Beanie Hat,Elephant Retro Beanie Hat Turban Cap de chimiothérapie,10.99,22.99,USD,52,108,False,,"ID,MY,PH,SG,TH,VN",Black,Blue,1669588,SKUE92909,1186.92
accessories,Cache-oreilles,Masque anti-poussière Masque floral visage Sheild,5.99,11.99,USD,50,106,False,,"ID,MY,PH,SG,TH,VN",,,1668209,SKUE94426,634.94
accessories,Chapeaux & Bonnets,Chapeau élastique de chapeau de bonnet de chapeau élastique de couleur unie avec des boutons d'oreille,6.99,13.99,USD,50,85,False,,"ID,MY,PH,SG,TH,VN",Red,Beige,1686029,SKUF28443,594.15
accessories,Beanie Hat,Bonnet Fleurs Bonnets Découpés En Relief,10.99,22.99,USD,52,63,False,,"ID,MY,PH,SG,TH,VN",Khaki,Black,1694979,SKUF33483,692.37
accessories,Skull Caps,Chapeau de propriétaire pour homme Collrown Summer Street Trends Melon Cap Denim Chapeaux sans bord,13.99,26.99,USD,48,53,False,,"ID,MY,PH,SG,TH,VN",Blue,,1690613,SKUF24036,741.47
accessories,Chapeaux & Bonnets,Chapeau de pêche en plein air,10.99,21.99,USD,50,58,False,,"ID,MY,PH,SG,TH,VN",Army Green,Light Grey,1680830,SKUF25633,637.42
accessories,Gants,Gants tactiques Handschuhe à écran tactile complet,25.99,49.99,USD,48,53,False,,"ID,MY,PH,SG,TH,VN",Black,Brown,1691311,SKUF41075,1377.47
accessories,Baseball Caps,Chapeau de parasol de casquette de baseball en denim lavé personnalisé pour hommes en plein air,9.99,18.99,USD,47,20,False,,"ID,MY,PH,SG,TH,VN",Navy,Black,1674376,SKUF11354,199.8
accessories,Baseball Caps,Casquette Trump 2020 Baseball Cap US Presidential Election,14.99,28.99,USD,48,21,False,,"ID,MY,PH,SG,TH,VN",,,1674134,SKUE94195,314.79
accessories,Ceintures & Bretelles,Ceinture pour hommes en cuir véritable ceinture givrée décontractée ceinture sangle broche ceinture rétro,49.99,99.99,USD,50,10,False,,"ID,MY,PH,SG,TH,VN",Green,Coffee,1682449,SKUF26286,499.90000000000003
accessories,Cache-oreilles,Masque en coton imprimé Masque anti-poussière ,5.99,11.99,USD,50,97,False,,"ID,MY,PH,SG,TH,VN",Blue,Pink,1668212,SKUE94424,581.03
accessories,Cache-oreilles,Masque de décoration de diamant pour femmes Masque Sheild,6.99,0.0,USD,0,30,False,,"ID,MY,PH,SG,TH,VN",# 01,,1695105,SKUF38828,209.70000000000002
accessories,Beanie Hat,Chapeau de gommage pour casquettes chirurgicales,11.49,21.73,USD,47,30,False,,"ID,MY,PH,SG,TH,VN",Gray,,1662888,SKUE95123,344.7
accessories,Cache-oreilles,Masque Sheild visage floral femme ,5.99,11.99,USD,50,126,False,,"ID,MY,PH,SG,TH,VN",,,1668213,SKUE94428,754.74
accessories,Cache-oreilles,Masque de décoration de femmes pour masque de mode de soirée de danse,6.99,0.0,USD,0,45,False,,"ID,MY,PH,SG,TH,VN",# 01,,1695114,SKUF38928,314.55
accessories,Flat Caps,Casquette Gavroche en Laine Cabbie Lvy Flat Hat Beret Hats ,17.49,29.26,USD,40,60,False,,"ID,MY,PH,SG,TH,VN",Black,,1637789,SKUE50982,1049.3999999999999
accessories,Beanie Hat,Bonnet à rayures multicolore Bonnet écharpe Turban Head Wrap Cap ,7.99,14.99,USD,47,43,False,,"ID,MY,PH,SG,TH,VN",,,1676014,SKUF16169,343.57
accessories,Chapeaux & Bonnets,Casquette de baseball rétro chapeaux de broderie de chapeau de soleil rétro,11.99,20.0,USD,40,19,False,,"ID,MY,PH,SG,TH,VN",Khaki,Black,1679096,SKUF23906,227.81
accessories,Foulards & Écharpes,Multifarben Color Block Cotton Blend Femme Foulards & Châles,28.74,71.68,USD,60,236,False,,"ID,MY,PH,SG,TH,VN",#01,,1565548,SKUD51316,6782.639999999999
accessories,Headband & Bandeaux,Masque de bandeau élastique Bandeau de bouton anti-cuir Bandeau de sport absorbant la sueur,4.99,8.99,USD,45,58,False,,"ID,MY,PH,SG,TH,VN",#01,#02,1686032,SKUF28417,289.42
accessories,Chapeaux & Bonnets,Plaque télescopique à tirer,11.99,23.99,USD,50,52,False,,"ID,MY,PH,SG,TH,VN",Navy,Pink,1674846,SKUF06912,623.48
accessories,Chapeaux & Bonnets,Casquette de baseball à la mode Chapeau de soleil rétro Chapeaux de broderie de coton,11.99,23.99,USD,50,21,False,,"ID,MY,PH,SG,TH,VN",Khaki,Black,1679074,SKUF23801,251.79
accessories,Cache-oreilles,Masque ajustable en mousseline imprimée,4.99,9.99,USD,50,34,False,,"ID,MY,PH,SG,TH,VN",,,1676046,SKUF09784,169.66
accessories,Chapeaux & Bonnets,COLLROWN Casquettes de béret de peintre en coton brodé pour hommes,13.99,27.99,USD,50,8,False,,"ID,MY,PH,SG,TH,VN",kaki,armée verte,1690110,SKUF19507,111.92
accessories,Baseball Caps,Casquette de baseball Trump Election 2020 US,8.99,16.99,USD,47,9,False,,"ID,MY,PH,SG,TH,VN",,,1674138,SKUE94307,80.91
accessories,Beanie Hat,Bonnet papillon Bonnet de chimiothérapie Cap Turban,11.99,24.99,USD,52,29,False,,,Black,Navy,1677731,SKUF19129,347.71
accessories,Flat Caps,Casquette Gavroche Coton Cabbie Lvy Flat Hat Vintage Beret,17.49,27.68,USD,37,53,False,,"ID,MY,PH,SG,TH,VN",Black,,1637788,SKUE51001,926.9699999999999
accessories,Chapeaux & Bonnets,Béret en coton pour hommes,11.99,23.99,USD,50,21,False,,"ID,MY,PH,SG,TH,VN",Black,Gray,1681952,SKUF04434,251.79
accessories,Beanie Hat,Chapeau ethnique floral brodé vintage pour femme ,20.99,40.99,USD,49,41,False,,"ID,MY,PH,SG,TH,VN",Black,,1676007,SKUF16119,860.5899999999999
