category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
beauty,Faux cils,Kit de recourbe-cils Perm,23.56,39.85,USD,41,150,False,,,,,1296354,SKU955160,3534.0
beauty,Sports Equipments,Fitness Buttocks Machine Corrects Buttocks Muscles Fitness Machine Exercise Pelvic Floor Muscles Beautiful Buttocks Clip Training Buttocks,19.99,39.99,USD,50,64,False,,"ID,MY,PH,SG,TH,VN",Rose,Violet,1678052,SKUF03789,1279.36
beauty,Autres produits des soins personnels,Oxymètre de pouls portable à pince,39.99,79.99,USD,50,113,False,,,,,1530616,SKUC51442,4518.87
beauty,Kit de l'art pour ongles,Set Nail Art,48.35,77.86,USD,38,1186,False,,"PH,TH,VN",,,1076402,SKU418150,57343.1
beauty,Soins des pieds,Dispositif de correction Hallux Valgus en silicone,11.99,24.35,USD,51,149,False,,"ID,MY,PH,SG,TH,VN",,,1200340,SKU764891,1786.51
beauty,Fers à friser pour cheveux,Fer à friser professionnel,38.51,66.99,USD,43,140,False,,"ID,MY,PH,SG,TH,VN",Or rose,,1663599,SKUE97846,5391.4
beauty,Kit de l'art pour ongles,Ensemble de machines de photothérapie,11.49,19.99,USD,43,169,False,,"ID,MY,PH,SG,TH,VN",,,1667767,SKUE78590,1941.81
beauty,Épilateur,Épilateur laser permanent professionnel,79.99,141.98,USD,44,53,False,,"ID,MY,PH,SG,TH,VN",White,,1695686,SKUF44536,4239.469999999999
beauty,Massage & Relaxation,Masseur relaxant musculaire ,97.74,159.37,USD,39,121,False,,"ID,MY,PH,SG,TH,VN",Blue,Red,1564336,SKUD40912,11826.539999999999
beauty,Sports Equipments,Vélo électrique pliant,1899.99,3999.99,USD,53,8,False,Fiido,"SG,VN",Black,White,1687595,SKUF20759,15199.92
beauty,Vernis à ongles,Stylo vernis à ongles en gel,10.34,16.99,USD,39,123,False,,,,,1667772,SKUE99065,1271.82
beauty,Épilateur,Ensemble de chauffe-cire électrique,64.99,129.99,USD,50,80,False,,"ID,MY,PH,SG,TH,VN",Purple,,1659987,SKUE81601,5199.2
beauty,Huile essentielle,Huile essentielle de chanvre pur ,13.79,23.99,USD,43,53,False,,VN,,,1634735,SKUC92514,730.87
beauty,Crayon à sourcils & Amplificateur,Kit de lifting des sourcils semi-pernament,22.99,0.0,USD,0,36,False,,VN,,,1685811,SKUF30584,827.64
beauty,Soins des pieds,Broyeur électrique de dossier de pied,27.99,59.99,USD,53,74,False,,"ID,MY,PH,SG,TH,VN",,,1685380,SKUF32514,2071.2599999999998
beauty,Daily Necessities,20pcs / boîtes de papier portable pour le lavage des mains ,6.31,10.99,USD,43,463,False,,"ID,MY,PH,SG,TH,VN",,,1652305,SKUE79358,2921.5299999999997
beauty,Tondeuse pour poils,Ensemble de tondeuse à cheveux électrique,63.24,109.99,USD,43,14,False,,"ID,MY,PH,SG,TH,VN",Gold,,1669009,SKUE99641,885.36
beauty,Health Care,50 masques faciaux jetables,19.99,42.99,USD,54,467,False,,"ID,MY,PH,SG,TH,VN",,,1643997,SKUE63694,9335.33
beauty,Massage & Relaxation,Massage cervical électrique à 15 vitesses,49.99,0.0,USD,0,60,False,,"ID,MY,PH,SG,TH,VN",,,1664737,SKUE24759,2999.4
beauty,Health Care,10PCS 3 couches de masque facial de bactéries filtrantes non tissées,5.99,10.99,USD,46,322,False,,"ID,MY,PH,SG,TH,VN",#01,,1662068,SKUE94244,1928.78
beauty,Sports Equipments,Barres d'acier horizontales de porte ,59.99,119.99,USD,50,20,False,,"ID,MY,PH,SG,TH,VN",Blue,Red,1676820,SKUF12319,1199.8
beauty,Tondeuse pour poils,Ensemble de coupe-cheveux multifonctionnel ,25.86,44.99,USD,43,142,False,,,,,1315219,SKU985595,3672.12
beauty,Vêtements minceur,Ceinture de correction du dos,17.81,29.8,USD,40,90,False,,"ID,MY,PH,SG,TH,VN",Black,,1651622,SKUE76715,1602.8999999999999
beauty,Daily Necessities,Coussin hygiénique lavable ,7.46,12.99,USD,43,49,False,,"ID,MY,PH,SG,TH,VN",,,1652030,SKUE77787,365.54
beauty,Perruques synthétiques,Perruques bouclées longues de 28 pouces,41.99,82.99,USD,49,32,False,,"ID,MY,PH,SG,TH,VN",Brown,,1683629,SKUF29451,1343.68
