category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
house,Flowers,150pcs / pack de graines de fleurs Hosta,4.99,8.99,USD,45,867,False,Egrow,"PH,TH,VN",Violet,vert,1317953,SKU967403,4326.33
house,Home Carpets,Tapis de maison antidérapants de style floral classique européen,16.17,43.74,USD,63,703,False,DecBest,"ID,MY,PH,SG,TH,VN",#1,#2,1496436,SKUC30634,11367.510000000002
house,Outdoor Tools,IPRee ™ 30KN Rappel d'escalade Dscender Eight Ring,14.99,25.99,USD,42,52,False,,"ID,MY,PH,SG,TH,VN",,,907293,SKU093263,779.48
house,Outdoor Tools,Bâton d'auto-défense à poteau télescopique à 3 sections Outil d'évacuation d'urgence pour bâton rétractable,13.99,34.97,USD,60,120,False,,"ID,MY,PH,SG,TH,VN",,,1339082,SKUA06367,1678.8
house,Fournitures de nettoyage,Couvre-pied jetable automatique pour machine à film pour chaussures,74.99,151.24,USD,50,222,False,,"ID,MY,PH,SG,TH,VN",#1,#2,1664674,SKUF00488,16647.78
house,Literie,Housse de couette en fibre de polyester de luxe Soft,41.29,89.5,USD,54,467,False,SOFO,,,,1332456,SKUA10391,19282.43
house,Flowers,Lot de 100 pcs semences de lithops bleus vivaces pseudotruncatella,5.99,10.99,USD,46,2082,False,Egrow,"PH,TH,VN",,,1244169,SKU820961,12471.18
house,Grasses,Herbe de la pampa arc-en-ciel,6.71,10.99,USD,39,1535,False,Egrow,,,,1432170,SKUB42528,10299.85
house,Fournitures de nettoyage,Machine de film de chaussure maison automatique nouveau jetable ,79.51,150.75,USD,47,136,False,,"ID,MY,PH,SG,TH,VN",,,1657579,SKUE87086,10813.36
house,Dessert Decorators,Ensemble de 52 pièces Platine à gâteau 32 pièces Ensemble de conseils de tuyauterie,24.01,49.0,USD,51,114,False,,"ID,MY,PH,SG,TH,VN",,,1632823,SKUB62466,2737.1400000000003
house,Desktop Holder,Ring Fill Light Lamp NO / WITH Trépied for Selfie Photography Vlog Live Streaming Camera Video Beauty,4.99,12.5,USD,60,156,False,,"ID,MY,PH,SG,TH,VN",#3,#2,1579954,SKUC55584,778.44
house,Outdoor Tools,3000RPM / min Kit de scie sabre électrique sans fil pour scie alternative sans fil pour Makita 18V Batterie 100 mm / 2 mm (Batterie non inclus),43.99,109.99,USD,60,44,False,,"ID,MY,PH,SG,TH,VN",,,1687358,SKUE54645,1935.5600000000002
house,Food Storage,Ensemble de réservoir d'assaisonnement rotatif de cuisine Rangement de cuisine,9.99,16.99,USD,41,165,False,,"ID,MY,PH,SG,TH,VN",Black,,1663485,SKUE92687,1648.3500000000001
house,Flowers,400pcs Egrow 4 Varieties Mixed Rose Flowers Seeds Pink Succulen Blue Witchford Seeds,12.99,25.99,USD,50,118,False,,"PH,TH,VN",,,1677994,SKU578184+SKU903970,1532.82
house,Artisanat,83 pièces / ensemble moule en silicone pour résine silicone uv résine bricolage argile résine époxy moulage moules et outils fixés avec sac de rangement pour bijoux,14.99,37.48,USD,60,101,False,,"ID,MY,PH,SG,TH,VN",,,1684835,SKUE83582,1513.99
house,Home Carpets,Tapis antidérapants SeaShell,12.44,27.78,USD,55,76,False,,"ID,MY,PH,SG,TH,VN",#1,#2,1549991,SKUC93100,945.4399999999999
house,Other Tools,Porte d'armoire de cuisine pliante murale 13L,15.99,30.99,USD,48,95,False,,"ID,MY,PH,SG,TH,VN",Gray,Green,1700474,SKUF49353,1519.05
house,Pesticides,Anti-Mosquito Lamp Electric Fly Bug Zapper Mosquito Insect Killer Lamp LED Light Trap Lamp Pest Control,15.99,46.68,USD,66,453,False,Loskii,"ID,MY,PH,SG,TH,VN",White,Black,1440132,SKUB44572,7243.47
house,Other Tools,Accessoires de cuisine gomme éponge avec poignée éponge de nettoyage brosses cuisine salle de bain brosse de décontamination forte,5.99,0.0,USD,0,124,False,,"ID,MY,PH,SG,TH,VN",,,1655134,SKUE83543,742.76
house,Tapisseries,Tenture murale Mystics tapisserie psychédélique motif champignon Mandala tapis,15.11,33.08,USD,54,327,False,,"ID,MY,PH,SG,TH,VN",,,1572776,SKUD33444,4940.97
house,Boîte de stockage,Boîte de papier hygiénique de salon,9.99,15.99,USD,38,70,False,,"ID,MY,PH,SG,TH,VN",Blue,Dark Blue,1698000,SKUF52328,699.3000000000001
house,Other Tools,12 pièces noir insonorisation mousse panneau mural acoustique isolation phonique mousse studio carreaux de mur,14.99,37.5,USD,60,200,False,,"ID,MY,PH,SG,TH,VN",,,1130524,SKU552458,2998.0
house,Other Garden Tools,Gilet léger JPC tactique Armor pour transporteur de plaques MOLLE avec poches mag,29.99,74.99,USD,60,35,False,,"ID,MY,PH,SG,TH,VN",,,1691276,SKU970648,1049.6499999999999
house,Other Tools,Cuisine 360 ° robinet rotatif têtes de robinet d'eau ménage purificateur d'eau filtre pulvérisateur Filtration au charbon actif,3.99,0.0,USD,0,160,False,,"ID,MY,PH,SG,TH,VN",,,1667313,SKUF04258,638.4000000000001
house,Car Mat,Filet de camouflage camouflage 4mx2m pour housse de voiture,17.55,56.67,USD,69,130,False,,"ID,MY,PH,SG,TH,VN",#1,#2,1090202,SKU450365,2281.5
house,Coussins & Oreillers,Coussin en peluche courte souple en forme de dos de chat,19.59,31.49,USD,38,686,False,,"ID,MY,PH,SG,TH,VN",Gray,White,1336889,SKU723736,13438.74
house,Other Tools,Outil de coupe de plis de coupeurs de pli d'acier inoxydable de cuisine,3.99,0.0,USD,0,124,False,,"ID,MY,PH,SG,TH,VN",,,1668100,SKUF04411,494.76000000000005
house,Meat & Poultry Tools,Outil de décorticage de pinces à crevettes,5.99,24.27,USD,75,274,False,,"ID,MY,PH,SG,TH,VN",,,1571191,SKUD60801,1641.26
house,Hammocks,Hamac de camping double simple avec moustiquaire extérieure portable,26.99,67.49,USD,60,75,False,,"ID,MY,PH,SG,TH,VN",Grey,Blue,1682580,SKUF28094,2024.2499999999998
house,Fruit & Vegetable Tools,Cuisine créative outils de hachage Gadget poignée taille broyeur d'oignon fleur d'oignon oignon râpé coupe-oignon,3.99,6.99,USD,43,53,False,,"ID,MY,PH,SG,TH,VN",Green,Orange,1689345,SKUE95969,211.47
house,Home Carpets,Ultra Soft tapis moelleux pour chambre à coucher enfants chambre en peluche tapis de pépinière shaggy tapis de jet de fourrure pour collège dortoir tapis flous salon décoration de la maison tapis,18.47,29.46,USD,37,718,False,,"ID,MY,PH,SG,TH,VN",Fruits verts,Bleu,1163037,SKU501867,13261.46
house,Food Storage,1 Pc Verre Sauce Vinaigre Bouteille D'huile Distributeur D'huile Conteneur Sauce Bateaux Condiment Assaisonnement Bouteille Distributeur D'huile D'olive Cuisine,5.99,10.99,USD,46,65,False,,"ID,MY,PH,SG,TH,VN",#01,#02,1697653,SKUE92694,389.35
house,Artisanat,79 pièces / ensemble moules de moulage de bijoux moules à bijoux en résine de silicone ornement collier pendentif bricolage matériaux de fabrication,16.99,42.99,USD,61,48,False,,"ID,MY,PH,SG,TH,VN",,,1684795,SKUE83703,815.52
house,Broderie à point de croix,100 pcs Crochet Crochets Ensemble Complet Outil À Tricoter Accessoires Aiguilles À Tricoter Outils De Couture Artisanat Kit avec Étui En Cuir,14.99,37.49,USD,60,70,False,,"ID,MY,PH,SG,TH,VN",,,1694967,SKUF32425,1049.3
house,Boîte de stockage,Salle de bains toilette mural rouleau papier conteneur étagère multifonctionnelle téléphone portable verre montre titulaire boîte à mouchoirs,22.99,24.0,USD,0,26,False,,"ID,MY,PH,SG,TH,VN",White,,1687403,SKUE53219,597.74
house,Artisanat,187 pcs / ensemble Kit de broderie Aiguille de poinçon Motifs de broderie Kit d'aiguille de poinçon Outil d'artisanat Broderie Stylo Ensemble Fils pour la couture Tricot DIY Enfileurs,23.99,59.99,USD,60,86,False,,"ID,MY,PH,SG,TH,VN",,,1693365,SKUF32293,2063.14
house,Sacs pour plantes & Aquaculture,Pot de fleur suspendu vert pour balcon intérieur et extérieur,20.71,35.84,USD,42,110,False,,"ID,MY,PH,SG,TH,VN",White,Green,1660559,SKUE48915,2278.1
house,Lits & Tapis,Housse de canapé anti-adhérente pour animaux de compagnie,28.99,56.99,USD,49,80,False,,"ID,MY,PH,SG,TH,VN",Coffee,Black,1653974,SKUE71304,2319.2
house,Artisanat,248 Pcs Boucle D'oreille Époxy Résine Moules Kit Bohême Drop Dangle Résine Boucle D'oreille Moule Bijoux De Mode Résine Silicone Moules Art Artisanat,14.99,37.99,USD,61,58,False,,"ID,MY,PH,SG,TH,VN",,,1685359,SKUE83581,869.42
house,Other Garden Tools,Bricolage jardin pavage moule manuel pavage ciment brique pierre route moule,26.99,0.0,USD,0,30,False,,"ID,MY,PH,SG,TH,VN",,,1684369,SKUF26575,809.6999999999999
house,Literie,Ensemble de draps de lit de confort d'hôtel de luxe Ensemble de literie Poches profondes Résistant aux rides et à la décoloration Ensemble de draps et d'oreillers hypoallergéniques,12.5,62.99,USD,80,48,False,,"ID,MY,PH,SG,TH,VN",Green,Lake Blue,1689355,SKUF27684,600.0
house,Home Carpets,"Tapis rond 3D, tapis antidérapant à carreaux Vortexs Optical Illusions, tapis de sol antidérapant Durbale paillasson noir blanc non tissé, pour salon cuisine de chambre à coucher",14.99,47.49,USD,68,35,False,,"ID,MY,PH,SG,TH,VN",,,1701338,SKUF55255,524.65
house,Other Tools,Matériel de silicone de catégorie comestible de sac de pâte de pétrissage de main antiadhésif de ménage multifonctionnel,5.99,8.99,USD,33,72,False,,"ID,MY,PH,SG,TH,VN",,,1684862,SKUE92949,431.28000000000003
house,Oreillers,Oreiller en latex naturel standard,22.55,74.81,USD,70,91,False,,"ID,MY,PH,SG,TH,VN",,,1370339,SKUA49939,2052.05
house,Grasses,Egrow 12 Pcs / Pack Rhodochiton Atrosanguineus Graines Cloche Fleur de Vigne pour Maison Jardin plante,4.99,0.0,USD,0,58,False,Egrow,"PH,TH,VN",,,1659078,SKUE67040,289.42
house,Openers,Ouvre-boîtes,12.99,24.99,USD,48,13,False,,"ID,MY,PH,SG,TH,VN",,,1716362,SKUF81490,168.87
house,Other Garden Tools,Jardinière Perceuse Planteur Tige Spirale Jardin Plantation Fleur Bit,9.99,0.0,USD,0,53,False,,"ID,MY,PH,SG,TH,VN",,,1690468,SKUF32113,529.47
house,Food Storage,Cuisine 24 Grille Boîte Réfrigérateur Bac À Légumes Boîte De Rangement Portable Pique-Nique Boîte En Plastique Plateau,9.99,0.0,USD,0,80,False,,"ID,MY,PH,SG,TH,VN",,,1695710,SKUE99272,799.2
house,Grasses,Egrow 5 Pcs / Pack Obcordata Graines Papillon Vert Bonsaï pour Jardin Maison Plante,4.99,0.0,USD,0,44,False,Egrow,"PH,TH,VN",,,1658837,SKUE68238,219.56
house,Outdoor Tools,Selle de vélo 3D Soft Housse de siège Gel Coussin en silicone à vélo pour vélo ultra-léger,12.99,32.49,USD,60,36,False,,"ID,MY,PH,SG,TH,VN",Red,Blue,1692356,SKUF42744,467.64
house,Lits & Tapis,Avocat vert longue peluche Super Soft lit rond pour animaux de compagnie chenil chien chat coussin de couchage confortable,20.99,40.99,USD,49,238,False,,"ID,MY,PH,SG,TH,VN",Green,,1605952,SKUD99476,4995.62
house,Mangeoirs & Abreuvoirs,Écologique orthopédique chat bol chat cou protéger bol antidérapant réglable oblique chat bol pour protéger la colonne vertébrale cervicale,10.99,0.0,USD,0,95,False,,"ID,MY,PH,SG,TH,VN",,,1685714,SKUF33275,1044.05
house,Artisanat,Outil de décoration de gâteau Sco Gâteau au sucre DIY Pâte à pâtisserie Rouleau Rouleau à pâtisserie Ensemble de 96 outils de cuisson,26.99,67.49,USD,60,35,False,,"ID,MY,PH,SG,TH,VN",,,1685035,SKUE83560,944.65
house,Literie,Draps de luxe Ensembles de literie les plus doux,18.0,84.32,USD,79,293,False,,,gris,rouge,1309164,SKU905075,5274.0
house,Home Carpets,2pcs / set tapis de sol pour chat de dessin animé,19.99,60.71,USD,67,359,False,,"ID,MY,PH,SG,TH,VN",,,1424856,SKUB10115,7176.41
house,Other Tools,Micro-ondes spécial Silicone enveloppe en plastique couvercle de bol de légumes chauds bol frais couverture scellée transparente Film alimentaire pour réfrigérateur,3.99,5.99,USD,33,74,False,,"ID,MY,PH,SG,TH,VN",,,1695509,SKUF00529,295.26
house,Sécurité de salle de bain,Barre d'appui de douche Balance Assist,7.49,17.99,USD,58,477,False,,"ID,MY,PH,SG,TH,VN",,,1148326,SKU643608,3572.73
house,Outils de cuisine & Gadgets,"Filtre pour lave-vaisselle, couvercle de drain de plancher pour évier à cheveux",6.71,11.99,USD,44,187,False,,"ID,MY,PH,SG,TH,VN",,,1657656,SKUE51343,1254.77
house,Boîte de stockage,Boîte de rangement de masque jetable antipoussière Boîte de rangement de couvercle portable Boîte de finition de masque de ménage N95 est disponible,3.99,0.0,USD,0,39,False,,"ID,MY,PH,SG,TH,VN",blanc,Gris,1702704,SKUF52322,155.61
house,Boîtes d'oreiller,2 pcs / ensemble Soft Taie d'oreiller en satin de soie Literie Couleur unie Taie d'oreiller Lisse Couverture de maison Chaise Siège Décor,5.0,24.99,USD,80,17,False,,"ID,MY,PH,SG,TH,VN",Purple,White,1697809,SKUF27825,85.0
