category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
men,Undershirt,Sous-vêtements amincissants de contrôle du ventre réglable,16.99,39.97,USD,58,382,False,,,Black,White,1626609,SKUE30713,6490.179999999999
men,Shirts,Chemises à manches courtes à rayures,17.99,35.98,USD,50,275,False,,"ID,MY,PH,SG,TH,VN",Black strip,Rayure bleue,1696680,SKUF37566,4947.25
men,Henley Shirts,Chemise Henley en lin respirant pour homme,16.98,39.99,USD,58,3686,False,,"ID,MY,PH,SG,TH,VN",,,1676437,SKUE55668,62588.28
men,Slips,Pochette Cosy Modal Underwear,8.99,17.98,USD,50,50,False,,"ID,MY,PH,SG,TH,VN",Rose,vert,1692052,SKUF24928,449.5
men,Pyjama,Pyjama confortable en coton et lin,31.35,45.26,USD,31,140,False,,"ID,MY,PH,SG,TH,VN",Grey,Blue,1658681,SKUE87235,4389.0
men,Henley Shirts,Chemise vintage en couleur pure à col montant,20.99,38.99,USD,46,11521,False,,"ID,MY,PH,SG,TH,VN",Vert foncé,kaki,1361733,SKUA44469,241825.78999999998
men,T-Shirts,T-shirt décontracté en coton uni avec poche poitrine,9.99,25.99,USD,62,2627,False,,"ID,MY,PH,SG,TH,VN",Navy,Wine Red,1650894,SKUE67015,26243.73
men,Shirts,Chemises à poches multicolores,16.99,33.94,USD,50,6570,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Blue,Yellow,1644753,SKUE56372,111624.29999999999
men,Pyjama,Plus Pyjama design patchwork taille,23.99,0.0,USD,0,101,False,INCERUN,"ID,MY,PH,SG,TH,VN",Rose,Vin rouge,1679383,SKUE16676,2422.99
men,Shirts,Chemises Imprimées Branches Vintage,23.09,33.94,USD,32,3474,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Khaki,Coffee,1649599,SKUE54146,80214.66
men,T-Shirts,T-shirts graphiques Astronaute et Terre,9.99,29.99,USD,67,1447,False,,"ID,MY,PH,SG,TH,VN",Black,Grey,1685394,SKUF32558,14455.53
men,Shirts,Chemise à imprimé floral en porcelaine pour homme,18.99,37.71,USD,50,8872,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Noir,Bleu,1496404,SKUC48987,168479.28
men,Shirts,Chemises 100% coton imprimées pour hommes,20.99,37.71,USD,44,9211,False,,"ID,MY,PH,SG,TH,VN",vert,Bleu,1527110,SKUC66899,193338.88999999998
men,Shirts,Chemises unie Striola Chest Pocket,16.49,28.28,USD,42,5267,False,,"ID,MY,PH,SG,TH,VN",Blue,Black,1646547,SKUE37685,86852.82999999999
men,T-Shirts,T-shirt 100% coton à col en V de couleur unie,9.99,28.28,USD,65,788,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Sky Blue,White,1689337,SKUF22170,7872.12
men,Shirts,Chemise à col montant en lin respirant,16.99,33.99,USD,50,1040,False,,"ID,MY,PH,SG,TH,VN",blanc,gris,1687607,SKUF04403,17669.6
men,Pyjama,Ensembles de chemises en coton et lin,31.99,60.35,USD,47,15,True,ChArmkpR,"ID,MY,PH,SG,TH,VN",,,1715461,SKUF80490,479.84999999999997
men,Henley Shirts,Chemise Henley Décontractée Solide en Lin de Coton Vintage,20.99,33.94,USD,38,3440,False,,"ID,MY,PH,SG,TH,VN",Bleu,Jaune,1439022,SKUB55545,72205.59999999999
men,Shirts,Coton Colorful Chemise à rayures,18.89,35.99,USD,48,3566,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Green,Blue,1662372,SKUE94088,67361.74
men,Shirts,Chemises à manches courtes imprimées à l'huile florale vintage,19.79,28.28,USD,30,3542,False,,"ID,MY,PH,SG,TH,VN",Yellow,Blue,1653022,SKUE55334,70096.18
men,Slips,Phimosis Circoncision Protective Brief,31.98,55.24,USD,42,310,False,,"ID,MY,PH,SG,TH,VN",Gris,,1443219,SKUB32708,9913.8
men,T-Shirts,Mens Sample Cartoon Cat Graphic Casual Cotton Short Sleeve T-Shirt,9.99,28.99,USD,66,1799,False,,"ID,MY,PH,SG,TH,VN",vert,Bleu clair,1677892,SKUF20434,17972.010000000002
men,Shirts,Chemise patchwork de couleur contrastée,17.99,33.94,USD,47,2502,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Black,Blue,1680786,SKUF20181,45010.979999999996
men,Shirts,Chemises imprimées de graffitis de dessin animé pour hommes,18.99,33.94,USD,44,8248,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Blue,Lake Blue,1541922,SKUD14678,156629.52
men,Shirts,Chemise patchwork à rayures plantes et feuilles,17.99,33.94,USD,47,2521,False,ChArmkpR,,Jaune,Orange,1677991,SKUF08173,45352.78999999999
men,Pantalons,Pantalon bouffant ample en 100% coton,29.39,50.29,USD,42,6481,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Vert foncé,Noir,1285524,SKU924208,190476.59
men,Shirts,Chemise patchwork à rayures de paysage,17.99,33.94,USD,47,1969,False,,"ID,MY,PH,SG,TH,VN",Orange,Bleu,1677988,SKUF08187,35422.31
men,Shirts,Chemise unie respirante légère,15.74,28.28,USD,44,2692,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Yellow,Khaki,1662784,SKUE54946,42372.08
men,Shirts,Chemise à col rabattu imprimé peinture chinoise,38.84,59.99,USD,35,3036,False,,"ID,MY,PH,SG,TH,VN",White,Black,1528008,SKUC62470,117918.24
men,Pyjama,Vêtement d'intérieur léger en lin de coton uni,27.99,52.81,USD,47,195,False,ChArmkpR,"ID,MY,PH,SG,TH,VN",Marine,blanc,1711299,SKUF73430,5458.049999999999
men,Shirts,Chemises rayées Classic pour hommes ,19.79,33.94,USD,42,2238,False,,"ID,MY,PH,SG,TH,VN",Red,Khaki,1658562,SKUE72102,44290.02
men,Shirts,Chemises lâches à manches courtes style ethnique,20.99,42.99,USD,51,4623,False,,"ID,MY,PH,SG,TH,VN",As Picture,,1537191,SKUC73976,97036.76999999999
men,Shirts,Chemise d'impression dégradé de coton ,25.19,37.72,USD,33,2188,False,INCERUN,"ID,MY,PH,SG,TH,VN",Orange,Bleu,1639578,SKUC92040,55115.72
men,T-Shirts,T-shirt décontracté à col rond en coton et lin 8 couleurs,14.99,28.28,USD,47,1979,False,,"ID,MY,PH,SG,TH,VN",White,Gray,1654823,SKUE67579,29665.21
