category,subcategory,name,current_price,raw_price,currency,discount,likes_count,is_new,brand,codCountry,variation_0_color,variation_1_color,id,model,total_prices
shoes,Mocassins,Chaussures décontractées antidérapantes en tissu de soie glacée pour hommes,36.4,72.8,USD,50,873,False,,"ID,MY,PH,SG,TH,VN",Black,Khaki,1687903,SKUF29428,31777.199999999997
shoes,Mocassins,Chaussures en cuir à carreaux pour hommes de grande taille,46.36,106.49,USD,57,358,False,,"ID,MY,PH,SG,TH,VN",Red,Blue,1533324,SKUC99128,16596.88
shoes,Mocassins,Chaussures décontractées en cuir pour hommes,43.38,119.98,USD,64,1511,False, Menico,"ID,MY,PH,SG,TH,VN",Black,Khaki,1651734,SKUE68011,65547.18000000001
shoes,Sneakers & Baskets,Baskets plates élastiques en tricot d'épissage,19.99,39.99,USD,50,1873,False,,"ID,MY,PH,SG,TH,VN",Green,Blue,1591892,SKUD85085,37441.27
shoes,Mocassins,Hommes Cuir Épissage Soft Semelle Casual Chaussures,46.18,119.98,USD,62,2738,False,,"ID,MY,PH,SG,TH,VN",Bleu,Noir,1474682,SKUC15622,126440.84
shoes,Mocassins,Chaussures décontractées antidérapantes en cuir microfibre pour hommes,45.57,91.14,USD,50,202,False,,"ID,MY,PH,SG,TH,VN",Blue,Coffee,1682984,SKUF29370,9205.14
shoes,Mocassins,Chaussures de conduite décontractées antidérapantes en tissu de soie glacée pour hommes,36.64,73.28,USD,50,303,False,,"ID,MY,PH,SG,TH,VN",kaki,Noir,1696409,SKUF40815,11101.92
shoes,Mocassins,Chaussures décontractées confortables en toile lavée pour hommes,22.98,63.98,USD,64,3688,False,,"ID,MY,PH,SG,TH,VN",Bleu foncé,gris,1488803,SKUC25967,84750.24
shoes,Bottes & Bottines,Bottes à talons blocs à lacets brodés,41.29,96.94,USD,57,5739,False,,"ID,MY,PH,SG,TH,VN",Black1,Brown,1540079,SKUD06092,236963.31
shoes,Bottes & Bottines,Bottes d'été en cuir brodé de fleurs en strass,32.99,69.99,USD,53,218,False,,"ID,MY,PH,SG,TH,VN",Blue,Purple,1710310,SKUF71539,7191.820000000001
shoes,Baskets,Sneakers de course et de marche de grande taille pour homme,34.84,76.46,USD,54,2252,False,,"ID,MY,PH,SG,TH,VN",Noir,gris,1284771,SKU931470,78459.68000000001
shoes,Sandales & Mules,Sandales compensées à boucle évidée,30.67,74.2,USD,59,7784,False,Lostisy,"ID,MY,PH,SG,TH,VN",Navy,Maroon,1431555,SKUB22042,238735.28
shoes,Mocassins,Chaussures de conduite décontractées antidérapantes en daim pour hommes,49.99,112.34,USD,56,159,False,,"ID,MY,PH,SG,TH,VN",Khaki,Grey,1685010,SKUF28423,7948.410000000001
shoes,Baskets,Hommes Engrener Sneakers de randonnée non glissantes,43.12,110.6,USD,61,1539,False,,"ID,MY,PH,SG,TH,VN",Noir,marron,1459646,SKUB82094,66361.68
shoes,Sneakers & Baskets,Baskets à enfiler en maille Air Mesh,19.99,39.99,USD,50,2895,False,,"ID,MY,PH,SG,TH,VN",blanc,rouge,1412928,SKUB19289,57871.049999999996
shoes,Mocassins,Chaussures en cuir à couture à la main,64.62,131.98,USD,51,3216,False, Menico,"ID,MY,PH,SG,TH,VN",Bleu,Noir,1341589,SKUA23559,207817.92
shoes,Derbies & Mocassins,Chaussures plates sans dossier en daim à gros bout rond,26.09,68.27,USD,62,1037,False,,"ID,MY,PH,SG,TH,VN",Purple,Orange,1674852,SKUF15255,27055.329999999998
